id,code_zone,lib_zone,date_ech,date_dif,code_pol,lib_pol,etat,couleur,com_court,com_long,longitude,latitude
1,2016,Zone Alpine Ain,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.511348788,46.264469398
2,2016,Zone Alpine Ain,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.511348788,46.264469398
3,2016,Zone Alpine Ain,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.511348788,46.264469398
4,2016,Zone Alpine Ain,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.511348788,46.264469398
5,2016,Zone Alpine Ain,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.511348788,46.264469398
6,2016,Zone Alpine Ain,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5.511348788,46.264469398
7,2013,Zone Alpine Isère,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[5.74019176900001, 45.229894851]","[5.679118803, 45.247561807]"
8,2013,Zone Alpine Isère,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[5.74019176900001, 45.229894851]","[5.679118803, 45.247561807]"
9,2013,Zone Alpine Isère,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[5.74019176900001, 45.229894851]","[5.679118803, 45.247561807]"
10,2013,Zone Alpine Isère,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[5.74019176900001, 45.229894851]","[5.679118803, 45.247561807]"
11,2013,Zone Alpine Isère,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[5.74019176900001, 45.229894851]","[5.679118803, 45.247561807]"
12,2013,Zone Alpine Isère,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[5.74019176900001, 45.229894851]","[5.679118803, 45.247561807]"
13,2007,Ouest Ardèche,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,3.862609484,44.743957331
14,2007,Ouest Ardèche,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,3.862609484,44.743957331
15,2007,Ouest Ardèche,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,3.862609484,44.743957331
16,2007,Ouest Ardèche,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,3.862609484,44.743957331
17,2007,Ouest Ardèche,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,3.862609484,44.743957331
18,2007,Ouest Ardèche,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,3.862609484,44.743957331
19,2004,Contreforts Massif Central,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[4.020483388, 45.328172353]","[3.97810627700001, 45.37566835]"
20,2004,Contreforts Massif Central,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[4.020483388, 45.328172353]","[3.97810627700001, 45.37566835]"
21,2004,Contreforts Massif Central,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[4.020483388, 45.328172353]","[3.97810627700001, 45.37566835]"
22,2004,Contreforts Massif Central,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,"[4.020483388, 45.328172353]","[3.97810627700001, 45.37566835]"
23,2004,Contreforts Massif Central,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","[4.020483388, 45.328172353]","[3.97810627700001, 45.37566835]"
