id,gid,code_zone,zone,date,date_dif,code_pol,polluant,etat,niveau,com_court,commentaire,OBJECTID,SHAPE__Area,SHAPE__Length
1,1,2016,Zone Alpine Ain,2025-01-19,2025-01-18,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,1,3359408044.19214,346225.361125245
2,2,2016,Zone Alpine Ain,2025-01-18,2025-01-17,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,2,3359408044.19214,346225.361125245
3,3,2016,Zone Alpine Ain,2025-02-08,2025-02-07,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,3,3359408044.19214,346225.361125245
4,4,2016,Zone Alpine Ain,2025-01-26,2025-01-25,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,4,3359408044.19214,346225.361125245
5,5,2016,Zone Alpine Ain,2025-01-23,2025-01-22,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,5,3359408044.19214,346225.361125245
6,6,2016,Zone Alpine Ain,2025-03-05,2025-03-04,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6,3359408044.19214,346225.361125245
7,7,2013,Zone Alpine Isère,2025-03-14,2025-03-13,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,7,7206588787.80615,781821.320976567
8,8,2013,Zone Alpine Isère,2025-02-19,2025-02-18,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,8,7206588787.80615,781821.320976567
9,9,2013,Zone Alpine Isère,2025-04-01,2025-03-31,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,9,7206588787.80615,781821.320976567
10,10,2013,Zone Alpine Isère,2025-03-27,2025-03-26,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,10,7206588787.80615,781821.320976567
11,11,2013,Zone Alpine Isère,2025-01-14,2025-01-13,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,11,7206588787.80615,781821.320976567
12,12,2013,Zone Alpine Isère,2025-03-08,2025-03-07,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,12,7206588787.80615,781821.320976567
13,13,2007,Ouest Ardèche,2025-02-28,2025-02-27,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,13,9228857579.24243,627133.487901413
14,14,2007,Ouest Ardèche,2025-01-15,2025-01-14,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,14,9228857579.24243,627133.487901413
15,15,2007,Ouest Ardèche,2025-03-09,2025-03-08,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,15,9228857579.24243,627133.487901413
16,16,2007,Ouest Ardèche,2025-02-24,2025-02-23,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,16,9228857579.24243,627133.487901413
17,17,2007,Ouest Ardèche,2025-01-30,2025-01-29,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,17,9228857579.24243,627133.487901413
18,18,2007,Ouest Ardèche,2025-03-26,2025-03-25,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,18,9228857579.24243,627133.487901413
19,19,2004,Contreforts Massif Central,2025-04-01,2025-03-31,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,19,8388510115.40869,768301.532436903
20,20,2004,Contreforts Massif Central,2025-04-01,2025-03-31,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,20,8388510115.40869,768301.532436903
21,21,2004,Contreforts Massif Central,2025-03-27,2025-03-26,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,21,8388510115.40869,768301.532436903
22,22,2004,Contreforts Massif Central,2025-03-28,2025-03-27,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,22,8388510115.40869,768301.532436903
23,23,2004,Contreforts Massif Central,2025-02-26,2025-02-25,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",23,8388510115.40869,768301.532436903
24,24,2004,Contreforts Massif Central,2025-01-24,2025-01-23,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",24,8388510115.40869,768301.532436903
25,25,2010,Vallée Maurienne Tarentaise,2025-03-22,2025-03-21,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,25,3351663776.77173,490196.968906176
26,26,2010,Vallée Maurienne Tarentaise,2025-04-07,2025-04-06,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,26,3351663776.77173,490196.968906176
27,27,2010,Vallée Maurienne Tarentaise,2025-03-17,2025-03-16,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,27,3351663776.77173,490196.968906176
28,28,2010,Vallée Maurienne Tarentaise,2025-02-09,2025-02-08,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,28,3351663776.77173,490196.968906176
29,29,2010,Vallée Maurienne Tarentaise,2025-03-11,2025-03-10,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,29,3351663776.77173,490196.968906176
30,30,2010,Vallée Maurienne Tarentaise,2025-04-02,2025-04-01,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,30,3351663776.77173,490196.968906176
31,31,2011,Zone des Coteaux,2025-03-22,2025-03-21,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,31,3633709063.09375,438041.830665852
32,32,2011,Zone des Coteaux,2025-01-22,2025-01-21,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,32,3633709063.09375,438041.830665852
33,33,2011,Zone des Coteaux,2025-01-18,2025-01-17,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,33,3633709063.09375,438041.830665852
34,34,2011,Zone des Coteaux,2025-03-05,2025-03-04,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,34,3633709063.09375,438041.830665852
35,35,2011,Zone des Coteaux,2025-04-05,2025-04-04,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",35,3633709063.09375,438041.830665852
36,36,2011,Zone des Coteaux,2025-01-27,2025-01-26,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",36,3633709063.09375,438041.830665852
37,37,2012,Zone urbaine des Pays de Savoie,2025-02-23,2025-02-22,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,37,2323738627.73462,527791.711691031
38,38,2012,Zone urbaine des Pays de Savoie,2025-02-28,2025-02-27,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,38,2323738627.73462,527791.711691031
39,39,2012,Zone urbaine des Pays de Savoie,2025-02-22,2025-02-21,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,39,2323738627.73462,527791.711691031
40,40,2012,Zone urbaine des Pays de Savoie,2025-03-02,2025-03-01,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,40,2323738627.73462,527791.711691031
41,41,2012,Zone urbaine des Pays de Savoie,2025-02-08,2025-02-07,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,41,2323738627.73462,527791.711691031
42,42,2012,Zone urbaine des Pays de Savoie,2025-02-14,2025-02-13,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,42,2323738627.73462,527791.711691031
43,43,2001,Bassin Lémanique,2025-01-19,2025-01-18,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,43,2519559257.61719,452886.445142051
44,44,2001,Bassin Lémanique,2025-02-02,2025-02-01,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,44,2519559257.61719,452886.445142051
45,45,2001,Bassin Lémanique,2025-03-22,2025-03-21,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,45,2519559257.61719,452886.445142051
46,46,2001,Bassin Lémanique,2025-01-23,2025-01-22,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,46,2519559257.61719,452886.445142051
47,47,2001,Bassin Lémanique,2025-03-21,2025-03-20,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,47,2519559257.61719,452886.445142051
48,48,2001,Bassin Lémanique,2025-01-17,2025-01-16,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,48,2519559257.61719,452886.445142051
49,49,2002,Bassin Stéphanois,2025-02-16,2025-02-15,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,49,1496149083.80103,221417.724698525
50,50,2002,Bassin Stéphanois,2025-03-10,2025-03-09,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,50,1496149083.80103,221417.724698525
51,51,2002,Bassin Stéphanois,2025-03-19,2025-03-18,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,51,1496149083.80103,221417.724698525
52,52,2002,Bassin Stéphanois,2025-02-06,2025-02-05,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,52,1496149083.80103,221417.724698525
53,53,2002,Bassin Stéphanois,2025-03-31,2025-03-30,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",53,1496149083.80103,221417.724698525
