code_insee_commune,axe,x_deb,y_deb,x_fin,y_fin,longueur,code_traficolor
237676517.0,A28,569981.6,6938140.0,568217.6,6935783.5,3035,RO76
733131555.0,A620,572626.2,6284049.5,572552.9,6283075.0,834,TO31
237676517.0,A28,569985.7,6938129.5,568226.06,6935779.0,3042,RO76
723333075.0,A630,414987.7,6427724.5,414042.7,6427039.0,1030,BX33
723333075.0,A630,414969.9,6427708.0,414051.8,6427035.0,1000,BX33
931313055.0,A50,899135.8,6246745.0,899135.8,6246745.0,500,MA13
251414118.0,N814,452324.44,6904883.5,450728.7,6904383.5,1026,CA14
251414118.0,N814,452323.66,6904901.0,450801.1,6904456.5,946,CA14
931313055.0,A50,899135.8,6246745.0,900066.44,6247077.0,506,MA13
826969256.0,A42,848835.0,6523230.0,849757.0,6523618.0,777,LY69
826969256.0,N346,849578.56,6524540.0,849899.7,6523705.0,1211,LY69
524444109.0,N844,357535.62,6693705.0,357535.62,6693705.0,611,NA44
524444109.0,N844,357530.06,6693693.0,357530.06,6693693.0,662,NA44
733131555.0,A620,572623.6,6284050.0,572538.75,6283076.5,829,TO31
733131149.0,N124,563826.6,6280063.5,563826.6,6280063.5,767,TO31
733131149.0,N124,563826.56,6280065.5,563826.56,6280065.5,765,TO31
931313071.0,A7,886681.44,6258795.0,888626.9,6259173.5,3113,MA13
931313071.0,A55,884532.0,6257481.0,884532.0,6257481.0,497,MA13
931313001.0,A51,894862.56,6268104.0,894742.4,6269090.5,493,MA13
931313055.0,A50,900066.44,6247077.0,900066.44,6247077.0,498,MA13
826969256.0,A42,848830.1,6523246.5,848830.1,6523246.5,588,LY69
723333013.0,N230,423310.2,6424567.5,423310.2,6424567.5,663,BX33
723333013.0,N230,423324.0,6424567.5,423324.0,6424567.5,667,BX33
237676498.0,N338,559259.44,6927635.0,559259.44,6927635.0,676,RO76
237676498.0,N338,559246.44,6927653.0,559246.44,6927653.0,683,RO76
723333075.0,A630,415789.1,6427608.0,414987.7,6427724.5,1127,BX33
723333075.0,A630,415787.34,6427594.0,414969.9,6427708.0,1062,BX33
723333013.0,N89,424376.4,6424781.5,423393.62,6424964.5,327,BX33
733131555.0,A620,577495.3,6275251.0,577992.94,6274403.5,991,TO31
931313071.0,A7,886681.44,6258795.0,887683.1,6258877.0,517,MA13
931313055.0,A50,898253.5,6246272.5,898253.5,6246272.5,502,MA13
723333013.0,N89,424376.4,6424781.5,424376.4,6424781.5,390,BX33
251414341.0,N814,456096.03,6899212.5,457958.2,6899602.5,1833,CA14
251414341.0,N814,456088.1,6899187.0,457973.0,6899590.5,1846,CA14
524444172.0,A811,361400.38,6694029.5,361588.72,6692067.0,1707,NA44
524444172.0,A811,361385.2,6694030.0,361572.88,6692070.0,1701,NA44
826969256.0,N346,849578.56,6524540.0,849578.56,6524540.0,748,LY69
826969256.0,A42,849757.0,6523618.0,849585.25,6524570.0,631,LY69
826969256.0,A42,849603.06,6523772.5,849483.75,6524698.0,904,LY69
415454304.0,A31,928971.9,6848317.0,932671.56,6850962.5,4683,NA54
733131149.0,N124,563826.6,6280063.5,562835.75,6280014.0,700,TO31
723333162.0,A630,412495.34,6425798.5,411311.06,6424908.5,642,BX33
733131555.0,A620,572328.94,6281209.0,571969.0,6280289.0,925,TO31
723333162.0,A630,412494.03,6425801.0,411308.4,6424910.0,644,BX33
415454304.0,A31,928961.1,6848395.5,932651.6,6850974.0,4430,NA54
931313071.0,A7,887683.1,6258877.0,887683.1,6258877.0,501,MA13
931313055.0,A50,898253.5,6246272.5,899135.8,6246745.0,502,MA13
733131149.0,N124,563826.56,6280065.5,562835.75,6280016.0,698,TO31
251414271.0,N814,454454.4,6898681.0,456096.03,6899212.5,1346,CA14
524444109.0,N844,359330.3,6692943.5,359330.3,6692943.5,1290,NA44
524444109.0,N844,359318.28,6692932.5,359318.28,6692932.5,828,NA44
524444114.0,A844,352395.0,6694993.0,352395.0,6694993.0,483,NA44
524444114.0,A844,352395.0,6695005.0,353310.0,6695120.0,627,NA44
723333167.0,N230,422504.88,6420039.0,423273.97,6420643.5,688,BX33
826969256.0,A42,848830.1,6523246.5,849603.06,6523772.5,460,LY69
733131555.0,A620,572352.1,6281207.5,571953.56,6280311.5,944,TO31
251414271.0,N814,454470.78,6898672.0,456088.1,6899187.0,1324,CA14
723333167.0,N230,422514.56,6420030.0,423284.94,6420635.5,680,BX33
826969256.0,N346,849573.0,6524500.0,849879.75,6523611.0,627,LY69
733131555.0,A620,570544.9,6278999.5,570741.7,6278044.5,658,TO31
931313117.0,A7,884197.2,6260332.5,884866.3,6259737.5,395,MA13
931313106.0,A517,890190.0,6258680.0,890190.0,6258680.0,117,MA13
733131555.0,A620,572251.94,6275670.5,573217.8,6275883.5,793,TO31
415757463.0,N431,936001.25,6893074.5,933222.25,6889330.0,4905,ME57
251414437.0,N814,458523.6,6900415.5,459059.5,6901238.0,623,CA14
415757463.0,N431,935993.06,6893088.5,933222.25,6889347.5,4903,ME57
723333162.0,A630,413226.44,6426336.5,412495.34,6425798.5,1037,BX33
723333162.0,A630,413225.16,6426338.0,412494.03,6425801.0,1040,BX33
733131555.0,A620,570736.7,6278043.5,571124.7,6277142.0,805,TO31
733131555.0,A620,575906.44,6276048.5,575906.44,6276048.5,512,TO31
733131555.0,A620,575904.6,6276051.5,575904.6,6276051.5,513,TO31
733131555.0,A620,570741.7,6278044.5,571128.7,6277144.5,804,TO31
733131555.0,A620,570533.9,6279000.5,570736.7,6278043.5,661,TO31
733131149.0,N124,564850.6,6280070.5,563826.56,6280065.5,752,TO31
931313071.0,A7,884866.3,6259737.5,884866.3,6259737.5,635,MA13
733131555.0,A620,575906.44,6276048.5,576754.94,6275925.5,658,TO31
931313055.0,A50,897288.5,6246023.0,898253.5,6246272.5,491,MA13
733131149.0,N124,564850.0,6280067.5,563826.6,6280063.5,749,TO31
524444109.0,N844,359330.3,6692943.5,360138.0,6692362.5,805,NA44
524444109.0,N844,359318.28,6692932.5,361156.38,6691475.0,1553,NA44
415757552.0,N431,933222.25,6889347.5,927664.0,6886368.0,6304,ME57
415757552.0,N431,933222.25,6889330.0,927668.0,6886353.0,6307,ME57
733131555.0,A620,575904.6,6276051.5,576756.25,6275927.0,673,TO31
723333065.0,N230,421766.97,6419422.5,421766.97,6419422.5,650,BX33
723333065.0,N230,421754.22,6419426.0,421754.22,6419426.0,652,BX33
733131555.0,A620,576754.94,6275925.5,577492.3,6275248.5,772,TO31
733131555.0,A620,576756.25,6275927.0,577495.3,6275251.0,780,TO31
723333448.0,A62,420998.0,6408901.0,422592.0,6406409.0,3820,BX33
723333448.0,A62,420987.0,6408896.0,422582.0,6406401.0,3820,BX33
931313055.0,A50,896301.56,6245869.0,896301.56,6245869.0,499,MA13
723333318.0,A630,410548.2,6418349.5,411230.72,6417593.5,810,BX33
733131555.0,A624,568211.4,6280230.5,568211.4,6280230.5,536,TO31
251414137.0,N13,449397.1,6904701.5,445595.12,6905883.5,4004,CA14
251414587.0,N13,449398.22,6904704.5,445596.97,6905886.5,4003,CA14
723333318.0,A630,410550.84,6418351.5,411234.62,6417595.0,802,BX33
733131555.0,A620,571532.25,6276215.5,571532.25,6276215.5,497,TO31
723333090.0,A63,409014.5,6413696.0,407488.06,6412417.5,2005,BX33
723333090.0,A63,409031.3,6413676.0,407505.47,6412397.5,1305,BX33
733131555.0,A620,572258.44,6275650.5,573220.9,6275857.5,793,TO31
723333065.0,N230,421469.62,6418524.0,421766.97,6419422.5,645,BX33
733131555.0,A624,568208.2,6280216.5,568208.2,6280216.5,524,TO31
524444172.0,N844,361174.47,6691485.5,361174.47,6691485.5,1004,NA44
524444172.0,N844,361156.38,6691475.0,361156.38,6691475.0,726,NA44
733131555.0,A620,577492.3,6275248.5,577973.56,6274403.5,985,TO31
733131555.0,A620,571528.94,6276214.5,571528.94,6276214.5,496,TO31
723333065.0,N230,421461.62,6418533.5,421754.22,6419426.0,628,BX33
251414036.0,A13,462524.44,6901389.0,459533.3,6901505.5,2651,CA14
931313071.0,A55,888130.0,6255316.0,888130.0,6255316.0,413,MA13
931313055.0,A50,895311.94,6245775.0,895311.94,6245775.0,501,MA13
237676319.0,A13,553853.6,6917303.0,549907.0,6917692.5,3505,RO76
237676319.0,A13,555830.7,6917327.5,550897.9,6917473.5,4508,RO76
251414036.0,A13,462524.44,6901398.0,459532.3,6901522.0,2665,CA14
931313106.0,A51,890524.0,6257870.0,890905.4,6258781.0,575,MA13
251414587.0,N13,450859.7,6904431.0,449397.1,6904701.5,1492,CA14
251414587.0,N13,450859.44,6904433.0,449398.22,6904704.5,1613,CA14
931313071.0,A7,889590.3,6258994.5,890367.06,6258436.0,491,MA13
723333039.0,N230,420744.0,6417841.0,421469.62,6418524.0,1520,BX33
723333039.0,N230,420735.0,6417845.0,421461.62,6418533.5,1528,BX33
723333080.0,A62,419568.0,6412608.0,419901.0,6411672.0,3406,BX33
723333080.0,A62,419557.0,6412605.0,419890.0,6411668.0,3406,BX33
931313071.0,A551,885795.0,6259010.0,885795.0,6259010.0,511,MA13
723333080.0,A62,419901.0,6411672.0,420998.0,6408901.0,2931,BX33
723333080.0,A62,419890.0,6411668.0,420987.0,6408896.0,2931,BX33
931313055.0,A507,896765.7,6248925.5,896886.9,6247926.5,801,MA13
733131555.0,A620,572552.9,6283075.0,572423.8,6282116.5,728,TO31
251414118.0,N814,454240.56,6905173.5,453328.44,6904829.0,793,CA14
931313005.0,A501,907573.9,6247154.0,907573.9,6247154.0,501,MA13
251414118.0,N814,454248.44,6905165.0,453326.84,6904811.0,802,CA14
931313055.0,A55,888943.0,6254723.0,888130.0,6255316.0,496,MA13
251414437.0,N814,458580.3,6902285.0,457751.62,6902910.0,1204,CA14
251414437.0,N814,458568.25,6902272.0,457738.9,6902904.5,1207,CA14
931313055.0,A50,895311.94,6245775.0,896301.56,6245869.0,505,MA13
931313071.0,A7,888626.9,6259173.5,890367.06,6258436.0,2593,MA13
931313055.0,A507,896886.9,6247926.5,896886.9,6247926.5,625,MA13
733131555.0,A620,572420.6,6282117.5,572328.94,6281209.0,667,TO31
251414327.0,N814,456772.72,6904610.0,456060.03,6905293.0,1832,CA14
251414101.0,N814,450130.3,6902988.5,449986.56,6902045.0,1360,CA14
251414101.0,N814,450112.53,6902997.5,449966.97,6902044.5,1371,CA14
733131555.0,A620,572538.75,6283076.5,572420.6,6282117.5,719,TO31
931313005.0,A501,908173.2,6247945.0,908173.2,6247945.0,17,MA13
