positionne,distanceli,nom,typecapteu,typepostem,nbvoies,moyennejou,debithorai,horairedeb,identifian,identifia0,anneerefer,estvalide,gid,date
1789_VL,0,1789_Velo_Delandine_SN,Capteur inductif Criter,Comptage vélo,1,563.0,103.0,08h00,1789,-1,2023.0,,1055,2025-02-18
1147_V,72,1147_De Gaulle_France_Sembat,Capteur inductif Criter,Comptage tous véhicules,1,3057.0,434.0,17h00,1147,-1,2023.0,,1539,2025-03-23
815_V,117,815_Debrousse_PDFL_Hopital,Capteur inductif Criter,Comptage tous véhicules,1,3596.0,376.0,18h00,815,103,2023.0,,1829,2025-03-27
1835_VL,0,1835_Sortie_PLB_Paris_Bron,Capteur inductif Criter,Comptage tous véhicules,2,4575.0,665.0,17h00,1835,-1,2019.0,,1107,2025-03-02
756_V,96,756_Esses_Poudriere_Cnr,Capteur inductif Criter,Comptage tous véhicules,1,6769.0,875.0,08h00,756,2608,2023.0,,2042,2025-03-10
2204_VL,104,2204_Mermoz_Nicolas_Moselle,Capteur inductif Criter,Comptage tous véhicules,2,12877.0,989.0,16h00,2204,301,2023.0,,439,2025-02-13
652_CS,0,652_Velo_La_Feuillee_O/ E,Capteur inductif Criter,Comptage vélo,1,1555.0,226.0,08h00,652,-1,2022.0,,2084,2025-01-22
704_VL,0,704_Voies_Sud_Valvert,Capteur inductif Criter,Comptage tous véhicules,2,6806.0,960.0,07h00,704,-1,2023.0,,42,2025-01-16
2332_V,79,2332_Perrache_Perrier_Bayard,Capteur inductif Criter,Comptage tous véhicules,1,4550.0,455.0,17h00,2332,2309,2023.0,,1663,2025-02-05
184_VR,80,184_Courmont_Biennier_Sala,Capteur inductif Criter,Comptage tous véhicules,2,24874.0,1711.0,17h00,184,-1,2023.0,,2503,2025-04-06
2136_V,47,2136_Lafayette_Baraban_Alsace,Capteur inductif Criter,Comptage tous véhicules,1,5140.0,378.0,16h00,2136,541,2023.0,,677,2025-03-25
1379_V,0,1379_BUE_Pelloutier_Corbas,Capteur inductif Criter,Comptage tous véhicules,1,,,,1379,-1,,,798,2025-02-28
697_VL,0,697_INT_Quai_Bellevue,Capteur inductif Criter,Comptage tous véhicules,2,16068.0,1491.0,17h00,697,-1,2023.0,,2156,2025-04-07
1909_VL,0,1909_Voie_N346_Decine_Paris_4,Capteur inductif Criter,Comptage tous véhicules,2,48731.0,3989.0,17h00,1909,-1,2023.0,,12,2025-04-01
44_V,69,44_Mermoz_Pare_Morat,Capteur inductif Criter,Comptage tous véhicules,1,8049.0,605.0,07h00,44,299,2023.0,,2470,2025-03-26
1886_V,0,1886_Entrée_A42_Paris_Lyon_3,Capteur inductif Criter,Comptage tous véhicules,1,16955.0,1610.0,07h00,1886,-1,2023.0,,742,2025-02-16
126_VL,102,126_Sarrail_ Bugeaud_Vauban,Capteur inductif Criter,Comptage tous véhicules,2,10903.0,845.0,08h00,126,2273,2023.0,,2409,2025-03-30
2245_VR,0,2245_Hesperide_Grange Blanche_République,Capteur inductif Criter,Comptage tous véhicules,2,9582.0,856.0,19h00,2245,-1,2023.0,,1701,2025-01-28
1043_VR,92,1043_Sortie parking Eurexpo_Expositions,Capteur inductif Criter,Comptage tous véhicules,2,648.0,1150.0,23h00,1043,2768,2023.0,,1494,2025-03-28
1474_V,115,1474_Doua_Salengro_Einstein,Capteur inductif Criter,Comptage tous véhicules,1,3993.0,514.0,08h00,1474,2048,2023.0,,892,2025-02-08
304_VR,116,304_Stalingrad_Vitton_Novel,Capteur inductif Criter,Comptage tous véhicules,2,7899.0,600.0,15h00,304,2508,2023.0,,2631,2025-03-10
566_V,98,566_Genas_Pagere_Brossolette,Capteur inductif Criter,Comptage tous véhicules,1,10615.0,792.0,17h00,566,2115,2023.0,,1977,2025-03-17
894_VL,137,894_Grande-Bretagne_Faurax_Leclerc,Capteur inductif Criter,Comptage tous véhicules,2,8019.0,721.0,08h00,894,2300,2022.0,,1759,2025-03-12
309_VL,480,309_Chambaud la Bruyere_Bernard_Bonnevay,Capteur inductif Criter,Comptage tous véhicules,3,22326.0,2361.0,17h00,309,2492,2023.0,,2640,2025-01-22
1132_V,88,1132_Monnet_Avenir Croix-Roussien_Pasteur,Capteur inductif Criter,Comptage tous véhicules,1,3134.0,482.0,08h00,1132,979,2023.0,,1591,2025-02-12
2316_V,0,2316_VOIE NOUVELLE NS_SG029_SG030,Capteur inductif Criter,Comptage tous véhicules,1,,,,2316,-1,,,384,2025-03-14
1599_SN1,0,1599_Velo_Joliot_Curie_SN,Capteur inductif Criter,Comptage vélo,1,370.0,79.0,17h00,1599,-1,2023.0,,980,2025-04-03
1626_V,93,1626_11 Novembre_Fonds_Chatelain,Capteur inductif Criter,Comptage tous véhicules,1,2694.0,322.0,17h00,1626,-1,2023.0,,997,2025-03-07
1967_VL,0,1967_Voie_N6_Lyon_A89_1,Capteur inductif Criter,Comptage tous véhicules,2,,,,1967,-1,,,81,2025-02-02
965_V_2,999,965_RD51_VC402_Port Masson,Capteur inductif Criter,Comptage tous véhicules,1,4938.0,743.0,07h00,965,-1,2023.0,,1390,2025-03-13
1992_VM,0,1992_Voie_A6_Ecully_Paris_3,Capteur inductif Criter,Comptage tous véhicules,3,51796.0,4548.0,16h00,1992,-1,2022.0,,300,2025-03-12
1228_V,120,1228_Collongue_Charbonniere_Pontet Crases,Capteur inductif Criter,Comptage tous véhicules,1,3584.0,413.0,17h00,1228,-1,2023.0,,1249,2025-02-11
901_VL,39,901_Garibaldi_Bonnel_Dunoir,Capteur inductif Criter,Comptage tous véhicules,3,12809.0,1012.0,17h00,901,229,2023.0,,1174,2025-01-16
2074_VR,0,2074_Voie_A450_Brignais_Lyon1,Capteur inductif Criter,Comptage tous véhicules,2,25324.0,2174.0,07h00,2074,-1,2023.0,,153,2025-01-24
873_VM2,37,873_Merieux_Debourg_Leclerc,Capteur inductif Criter,Comptage tous véhicules,4,15162.0,1516.0,17h00,873,2470,2023.0,,1728,2025-03-19
332_VR,0,332_Perrache_Pt. Mulatiere_TDTG,Capteur inductif Criter,Comptage tous véhicules,2,9416.0,1043.0,08h00,332,315,2023.0,,2376,2025-03-09
1832_VR,0,1832_Voie_PLB_Vinatier_Paris2,Capteur inductif Criter,Comptage tous véhicules,3,65513.0,4885.0,16h00,1832,-1,2023.0,,1102,2025-03-29
731_VR,0,731_Sortie_Voies_Sud_XRousse,Capteur inductif Criter,Comptage tous véhicules,2,19884.0,1974.0,08h00,731,-1,2023.0,,2024,2025-02-11
596_V,75,596_Gillet_Bois de la Caille_Immeuble,Capteur inductif Criter,Comptage tous véhicules,1,6342.0,516.0,15h00,596,2475,2023.0,,1846,2025-04-02
43_V,120,43_Mermoz_Berthelot_Bastie,Capteur inductif Criter,Comptage tous véhicules,1,8728.0,906.0,08h00,43,297,2023.0,,2476,2025-01-29
831_V,84,831_Jaures_Guillotiere_Gambetta,Capteur inductif Criter,Comptage tous véhicules,1,6092.0,445.0,09h00,831,190,2023.0,,1788,2025-02-09
2031_VR,0,2031_Voie_A7_Oullins_Paris,Capteur inductif Criter,Comptage tous véhicules,3,44914.0,4396.0,07h00,2031,-1,2019.0,,421,2025-03-04
