code_pme;source;code_insee_commune;axe;pr_debut;abscisse_debut;pr_fin;abscisse_fin;sens_gestionnaire;sens_cardinal;sens_migratoire;sens_giratoire;longueur;nb_voies;x_deb;y_deb;x_fin;y_fin;code_traficolor
MUM76.h1;DIRNO;237676517;A28;76PR91D;800;76PR94D;840;1;NORD_SUD;Y;;3035;0;569981.6;6938140.0;568217.6;6935783.5;RO76
A0001011200;DIRN;;;;0;;;;;;;0;0;;;;;
MB631.B8;DIRSO;733131555;A620;31PR1G;751;31PR2G;604;1;SUD_NORD;W;INTERIEUR;834;0;572626.2;6284049.5;572552.9;6283075.0;TO31
MSR69.K1;DIRCE;;;;0;;;;;;;0;0;;;;;
MUM76.h2;DIRNO;237676517;A28;76PR91G;800;76PR94G;840;1;SUD_NORD;W;;3042;0;569985.7;6938129.5;568226.06;6935779.0;RO76
N0041010100;DIRN;;;;0;;;;;;;0;0;;;;;
MB233.Z1;DIRA;723333075;A630;33PR9D;578;33PR10D;301;1;NORD_SUD;Y;EXTERIEUR;1030;3;414987.7;6427724.5;414042.7;6427039.0;BX33
MSR69.K2;DIRCE;;;;0;;;;;;;0;0;;;;;
MYL42.R1;DIRCE;824242095;N88;42PR49D;150;42PR51D;200;1;NORD_SUD;Y;;0;0;801030.56;6477775.5;799703.25;6476555.5;ST42
MB233.Z2;DIRA;723333075;A630;33PR9G;600;33PR10G;302;1;SUD_NORD;W;INTERIEUR;1000;3;414969.9;6427708.0;414051.8;6427035.0;BX33
MB133.Q2;DIRA;723333122;A63;6;980;;;2;;;;1500;2;;;;;
MM313.k2;DIRMED;931313055;A50;13PR5G;252;13PR5G;752;1;EST_OUEST;W;;500;0;899135.8;6246745.0;899135.8;6246745.0;MA13
MYP69.H3;DIRCE;;;;0;;;;;;;0;0;;;;;
A9022010250;DIRN;;;;0;;;;;;;0;0;;;;;
MRC14.T2;DIRNO;251414118;N814;14PR9G;700;14PR11G;0;1;OUEST_EST;W;INTERIEUR;1026;0;452324.44;6904883.5;450728.7;6904383.5;CA14
MRC14.T1;DIRNO;251414118;N814;14PR9D;700;14PR11D;0;1;EST_OUEST;Y;EXTERIEUR;946;0;452323.66;6904901.0;450801.1;6904456.5;CA14
A0001020150;DIRN;;;;0;;;;;;;0;0;;;;;
